"subject" "result.set" "activity" "average" "std.deviation"
"1" "train" "Walking" -0.319105810200331 0.453211235087895
"1" "train" "walking upstairs" -0.40699661814598 0.484858501395168
"1" "train" "walking downstairs" -0.297226292824001 0.456771218622641
"1" "train" "sitting" -0.633405230612481 0.546752683541609
"1" "train" "standing" -0.647424789141436 0.542002907982672
"1" "train" "Laying" -0.607522391836014 0.546269432435138
"3" "train" "Walking" -0.386865862874514 0.470951066246128
"3" "train" "walking upstairs" -0.424274671811149 0.483565695511007
"3" "train" "walking downstairs" -0.350536138554404 0.474312695263712
"3" "train" "sitting" -0.622780836987975 0.536555927131862
"3" "train" "standing" -0.626824657789309 0.524331420712339
"3" "train" "Laying" -0.641445804875381 0.531264189914277
"5" "train" "Walking" -0.378535121986988 0.472021060133111
"5" "train" "walking upstairs" -0.356353464901252 0.471116959031988
"5" "train" "walking downstairs" -0.296901580091929 0.480562992180139
"5" "train" "sitting" -0.627014833570021 0.531800934594468
"5" "train" "standing" -0.618821537531601 0.52705903240996
"5" "train" "Laying" -0.631793505517319 0.544273642917824
"6" "train" "Walking" -0.337513362522582 0.4647988054385
"6" "train" "walking upstairs" -0.330642340129316 0.466523885211534
"6" "train" "walking downstairs" -0.198922424840441 0.483095363514205
"6" "train" "sitting" -0.625412957710496 0.528637385677864
"6" "train" "standing" -0.629253160586122 0.525026761195723
"6" "train" "Laying" -0.619421431071453 0.534347014365071
"7" "train" "Walking" -0.306764482858546 0.461286094304694
"7" "train" "walking upstairs" -0.427408293255387 0.478990279155182
"7" "train" "walking downstairs" -0.317129508211319 0.476159913830683
"7" "train" "sitting" -0.628833138374792 0.537196922626709
"7" "train" "standing" -0.63369010626409 0.528998968815121
"7" "train" "Laying" -0.628303269447471 0.542894425810297
"8" "train" "Walking" -0.299755499867352 0.461548723299104
"8" "train" "walking upstairs" -0.293377815632218 0.465248670214848
"8" "train" "walking downstairs" -0.19351985419359 0.461742543566142
"8" "train" "sitting" -0.637726458982249 0.538121977770124
"8" "train" "standing" -0.639463722621354 0.538231483787708
"8" "train" "Laying" -0.627089533537997 0.546458880580517
"11" "train" "Walking" -0.431366510871248 0.477884946887167
"11" "train" "walking upstairs" -0.43527506672087 0.494467627903336
"11" "train" "walking downstairs" -0.348717448293558 0.477454785386
"11" "train" "sitting" -0.636081608692102 0.536138172185809
"11" "train" "standing" -0.648374467923916 0.535907356796131
"11" "train" "Laying" -0.643553031373099 0.539781208782956
"14" "train" "Walking" -0.385501824502105 0.460330280386057
"14" "train" "walking upstairs" -0.285486358859423 0.513334234091462
"14" "train" "walking downstairs" -0.203378373864087 0.480515259851269
"14" "train" "sitting" -0.639930771868791 0.528356809638948
"14" "train" "standing" -0.633771114374627 0.530630233634427
"14" "train" "Laying" -0.628355645282404 0.531781585638901
"15" "train" "Walking" -0.390526282476396 0.471270717307983
"15" "train" "walking upstairs" -0.393720911542089 0.481563322347365
"15" "train" "walking downstairs" -0.280227328116279 0.480006937986844
"15" "train" "sitting" -0.641496217339585 0.537286535671281
"15" "train" "standing" -0.640037091389994 0.531907311028069
"15" "train" "Laying" -0.639883147448173 0.531645353587105
"16" "train" "Walking" -0.431362808379042 0.477105231488618
"16" "train" "walking upstairs" -0.440146451770759 0.485317708656295
"16" "train" "walking downstairs" -0.339080301791712 0.480937315352519
"16" "train" "sitting" -0.642254023210701 0.540925776449808
"16" "train" "standing" -0.646538416475197 0.535947736890024
"16" "train" "Laying" -0.635906117499551 0.540630095806444
"17" "train" "Walking" -0.387039462708526 0.471134667165755
"17" "train" "walking upstairs" -0.401431355861112 0.47962604716241
"17" "train" "walking downstairs" -0.365194496888334 0.483847228322124
"17" "train" "sitting" -0.643707360983648 0.546904960722363
"17" "train" "standing" -0.644675070329398 0.541190132244345
"17" "train" "Laying" -0.629876420657766 0.544168849260398
"19" "train" "Walking" -0.238252786596887 0.444719848688577
"19" "train" "walking upstairs" -0.316821118319495 0.460486032995174
"19" "train" "walking downstairs" -0.078306398113335 0.509364069531728
"19" "train" "sitting" -0.638986666530727 0.532031068548314
"19" "train" "standing" -0.640136697217531 0.531068005859144
"19" "train" "Laying" -0.632999218754884 0.546417255997902
